Input Term,Best Match,URI,Similarity Score
Aecidium and teleutospores.,neuropore,http://purl.obolibrary.org/obo/UBERON_0005077,0.4909
Aecidium form,aliphatic compound,http://purl.obolibrary.org/obo/CHEBI_33653,0.5093
"""Aecidium"" I",obsolete aedeagus,http://purl.obolibrary.org/obo/UBERON_0003198,0.5725
(Aecidium.) III.,Phormidium,http://purl.obolibrary.org/obo/NCBITaxon_1198,0.5523
Aecidium & Teleutospores,neuropore,http://purl.obolibrary.org/obo/UBERON_0005077,0.4523
aerial,aerial tuber,http://purl.obolibrary.org/obo/PO_0004548,0.7141
after hatching year,hatching,http://purl.obolibrary.org/obo/GO_0035188,0.7560
Aged 46-76 days,normal age,http://purl.obolibrary.org/obo/PATO_0045005,0.5737
alate,alas,http://purl.obolibrary.org/obo/ENVO_00000438,0.7401
alate,alas,http://purl.obolibrary.org/obo/ENVO_00000438,0.7401
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
alate,alas,http://purl.obolibrary.org/obo/ENVO_00000438,0.7401
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,1.0000
larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,1.0000
algae,algal material,http://purl.obolibrary.org/obo/ENVO_01001189,0.6515
All,whole,http://purl.obolibrary.org/obo/PATO_0001446,0.5485
all known life stages,life cycle stage,http://purl.obolibrary.org/obo/UBERON_0000105,0.7243
all known parasitic stages,larval stage,http://purl.obolibrary.org/obo/UBERON_0000069,0.5824
all life stages,life cycle stage,http://purl.obolibrary.org/obo/UBERON_0000105,0.7633
All life stages,life cycle stage,http://purl.obolibrary.org/obo/UBERON_0000105,0.7633
all parasitic life stages,life of whole plant stage,http://purl.obolibrary.org/obo/PO_0025337,0.5424
All parasitic life stages,life of whole plant stage,http://purl.obolibrary.org/obo/PO_0025337,0.5424
all parasitic stages,larval stage,http://purl.obolibrary.org/obo/UBERON_0000069,0.6087
All parasitic stages,larval stage,http://purl.obolibrary.org/obo/UBERON_0000069,0.6087
All Parasitic Stages,larval stage,http://purl.obolibrary.org/obo/UBERON_0000069,0.6087
all stages,fully formed stage,http://purl.obolibrary.org/obo/UBERON_0000066,0.6616
All stages,fully formed stage,http://purl.obolibrary.org/obo/UBERON_0000066,0.6616
amphispores,Amphioxiformes,http://purl.obolibrary.org/obo/NCBITaxon_2682553,0.7365
anamorph,anabranch,http://purl.obolibrary.org/obo/ENVO_00000152,0.6773
Anamorph,anabranch,http://purl.obolibrary.org/obo/ENVO_00000152,0.6773
androecia,androecium,http://purl.obolibrary.org/obo/PO_0009061,0.7765
Apothecial,Aphanothece,http://purl.obolibrary.org/obo/NCBITaxon_1121,0.7274
apple,apple food product,http://purl.obolibrary.org/obo/FOODON_00001611,0.6592
Arthrinium state,archegonium,http://purl.obolibrary.org/obo/PO_0025126,0.5298
